codigo,departamento,poblacion_15_mas,pea_ocupados,pea_cesantes,pea_aspirantes,pei_quehaceres_hogar
1,Guatemala,"2,208,202","1,291,405","32,105","12,925","455,108"
2,El Progreso,"122,703","59,328","1,168",937,"37,664"
3,Sacatepéquez,"235,375","138,971","2,464",773,"52,607"
4,Chimaltenango,"406,333","211,647","2,311",862,"125,857"
5,Escuintla,"503,903","233,199","9,352","3,397","151,210"
6,Santa Rosa,"270,166","130,221","2,607","1,404","85,869"
7,Sololá,"282,335","139,430",906,998,"88,569"
8,Totonicapán,"274,247","136,144","1,073",985,"86,909"
9,Quetzaltenango,"548,868","266,456","3,363","2,087","167,667"
10,Suchitepéquez,"364,761","172,632","3,681","2,207","115,385"
11,Retalhuleu,"217,930","97,749","2,671","1,634","70,092"
12,San Marcos,"648,975","244,539","3,471","2,600","227,669"
13,Huehuetenango,"717,486","305,612","3,345","2,683","275,844"
14,Quiché,"580,371","259,287","2,039","2,070","210,420"
15,Baja Verapaz,"194,087","96,257",921,992,"64,171"
16,Alta Verapaz,"742,889","346,811","3,229","4,364","269,997"
17,Petén,"347,416","162,734","2,354","1,620","119,583"
18,Izabal,"270,138","132,445","2,692","1,937","83,402"
19,Zacapa,"169,010","80,379","1,981",972,"48,596"
20,Chiquimula,"268,989","113,065","1,755",981,"91,555"
21,Jalapa,"220,149","111,982",997,856,"74,958"
22,Jutiapa,"334,228","154,545","2,104","1,837","114,699"
