Código,Departamento,Población_10_mas,Soltero,Unido,Casado,Separado,Divorciado,Viudo
1,Guatemala,2480766,1094982,372920,819508,77057,18063,98236
2,El Progreso,140244,58770,28456,42414,4042,463,6099
3,Sacatepéquez,268123,116815,32000,102857,5839,1064,9548
4,Chimaltenango,476012,215855,44548,189102,8067,679,17761
5,Escuintla,578011,238060,138333,158902,18761,1354,22601
6,Santa Rosa,311798,134332,66177,88660,9205,683,12741
7,Sololá,331225,147254,52464,113500,5463,496,12048
8,Totonicapán,322967,147789,35309,121229,4545,435,13660
9,Quetzaltenango,630780,274437,90593,222624,14644,2300,26182
10,Suchitepéquez,426595,181852,70873,142559,11869,1092,18350
11,Retalhuleu,252798,107424,43041,83575,6781,705,11272
12,San Marcos,772438,331623,161419,232351,16231,1066,29748
13,Huehuetenango,856750,353689,202467,255452,16821,1036,27285
14,Quiché,699467,310943,136903,214105,11289,808,25419
15,Baja Verapaz,227505,93079,39823,80265,5573,516,8249
16,Alta Verapaz,888978,372745,163419,309502,17718,1219,24375
17,Petén,409498,169193,105361,110568,11878,794,11704
18,Izabal,314879,135152,79014,79302,9330,842,11239
19,Zacapa,193975,83137,44550,50942,6126,808,8412
20,Chiquimula,315537,142046,65769,86447,7232,647,13396
21,Jalapa,259561,114436,48969,76167,8535,608,10846
22,Jutiapa,384728,161615,70378,121120,12457,994,18164
