codigo,departamento,total_de_hogares,propietario_hombre,propietario_mujer,propietario_ambos,propietario_no_declarado,decision_hombre,decision_mujer,decision_ambos,decision_no_declarado
1,Guatemala,"752,843","236,280","174,213","96,694","13,723","158,098","160,465","420,333","13,947"
2,El Progreso,"44,213","20,359","10,827","5,625",602,"10,366","9,214","24,159",474
3,Sacatepéquez,"76,967","36,882","17,607","5,922","2,172","17,732","11,718","45,123","2,394"
4,Chimaltenango,"126,803","67,606","26,096","13,730","1,883","26,140","18,712","80,230","1,721"
5,Escuintla,"184,274","68,931","44,915","14,850","3,450","40,642","36,691","103,068","3,873"
6,Santa Rosa,"98,292","42,472","22,588","11,135",677,"25,556","20,190","51,752",794
7,Sololá,"85,607","45,914","16,818","13,758",714,"21,865","12,730","49,832","1,180"
8,Totonicapán,"77,530","42,677","12,319","13,342","2,107","21,992","12,287","41,203","2,048"
9,Quetzaltenango,"174,830","78,659","37,517","20,127","2,481","40,462","33,514","97,638","3,216"
10,Suchitepéquez,"124,226","44,448","28,270","9,499","1,609","30,164","24,550","67,960","1,552"
11,Retalhuleu,"73,712","28,263","18,498","6,692",978,"16,160","15,425","41,326",801
12,San Marcos,"203,694","117,766","39,955","20,606","2,428","65,729","35,345","99,286","3,334"
13,Huehuetenango,"226,029","133,087","36,166","33,465","1,965","82,675","39,239","101,419","2,696"
14,Quiché,"170,442","96,499","26,342","27,707","3,480","65,313","27,947","73,716","3,466"
15,Baja Verapaz,"68,003","32,507","14,260","10,560",398,"15,834","12,728","38,899",542
16,Alta Verapaz,"228,446","120,792","32,633","49,097","1,867","74,854","27,972","123,540","2,080"
17,Petén,"124,650","61,804","21,281","15,009","1,160","32,888","19,389","70,836","1,537"
18,Izabal,"94,786","40,123","20,898","11,621","1,423","25,757","19,767","47,813","1,449"
19,Zacapa,"59,432","27,077","16,027","5,640",934,"16,400","14,087","27,804","1,141"
20,Chiquimula,"90,917","48,201","21,099","8,713",908,"25,801","20,087","43,882","1,147"
21,Jalapa,"73,468","35,345","14,600","11,446",249,"19,912","14,881","38,251",424
22,Jutiapa,"116,767","55,748","25,436","15,817","1,111","32,897","25,049","57,393","1,428"
,,,,,,,,,,
