Código,Departamento,Población total censada,Hombres,Mujeres,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100 o más,Urbana,Rural
1,Guatemala,3015081,1449203,1565878,264759,269556,272564,301010,303900,273864,231447,222396,187695,152992,133306,112210,91154,72749,50013,33771,21462,13370,5114,1522,227,2750965,264116
2,El Progreso,176632,87172,89460,17878,18510,17541,19121,16934,14588,12316,11457,9669,7763,7127,6307,5122,4158,2952,2253,1484,942,386,108,16,91416,85216
3,Sacatepéquez,330469,161691,168778,30494,31852,32748,36230,34036,29912,24959,23821,18697,14853,13015,10883,9071,7215,4925,3344,2286,1435,523,156,14,292366,38103
4,Chimaltenango,615776,297154,318622,69673,70091,69679,72910,64079,52017,41425,38112,30641,24761,21213,17238,13480,10854,7651,5391,3490,2121,709,213,28,333300,282476
5,Escuintla,733181,365507,367674,78201,76969,74108,79515,75713,65862,53747,48287,39979,32055,27306,23005,18463,14611,10219,6875,4433,2598,906,282,47,448531,284650
6,Santa Rosa,396607,195584,201023,42164,42645,41632,44334,39363,32477,26301,24480,20633,17309,15311,13307,10888,8931,6403,4590,2968,1859,761,212,39,184212,212395
7,Sololá,421583,201265,220318,44590,45768,48890,50564,43999,35503,29035,27091,21457,17740,14350,11571,9486,7601,5602,3972,2335,1356,491,154,28,259533,162050
8,Totonicapán,418569,196293,222276,48076,47526,48720,49872,43740,34653,25812,23280,19008,17163,15055,12063,10060,8191,6115,4259,2569,1628,599,158,22,204938,213631
9,Quetzaltenango,799101,377782,421319,83506,84815,81912,89963,81672,68143,54551,50160,39952,34927,31358,26289,21742,17589,12296,8772,5844,3792,1357,404,57,491834,307267
10,Suchitepéquez,554695,272317,282378,64572,63528,61834,63201,56842,45559,37325,33731,26768,21541,19354,16541,13451,10964,7465,5475,3614,2090,634,181,25,266189,288506
11,Retalhuleu,326828,159745,167083,37249,36781,34868,36841,33516,27482,22261,19602,16132,12845,11329,10142,8309,6949,4813,3404,2279,1423,436,148,19,187401,139427
12,San Marcos,1032277,501142,531135,130902,128937,123463,118659,95544,76713,62087,58318,47098,39404,35153,30047,25249,20602,14954,10823,7342,4569,1731,558,124,262033,770244
13,Huehuetenango,1170669,557086,613583,159796,154123,139264,134413,112827,89094,70828,66012,51989,42776,35062,30271,24718,20787,14974,10669,6764,4105,1464,564,169,327297,843372
14,Quiché,949261,455347,493914,124298,125496,119096,117248,94214,73199,55182,49525,41790,35646,28329,23659,18984,15325,11209,7538,4579,2596,901,320,127,306569,642692
15,Baja Verapaz,299476,144925,154551,36814,35157,33418,35123,30163,23595,19702,17485,13920,11419,9740,8756,7477,6163,4149,2806,1957,1146,383,95,8,120281,179195
16,Alta Verapaz,1215038,602878,612160,164785,161275,146089,144873,120180,96141,82486,72254,54704,40719,31909,27837,23367,18971,12227,7964,5439,2768,816,202,32,379708,835330
17,Petén,545600,272863,272737,67852,68250,62082,67372,58261,45205,35616,31516,25498,19942,16410,13567,11044,8750,5758,3880,2472,1425,482,178,40,220797,324803
18,Izabal,408688,201859,206829,46714,47095,44741,48601,41247,33077,27413,24520,20803,16830,13867,12218,9760,7991,5457,3868,2472,1372,466,151,25,167653,241035
19,Zacapa,245374,120239,125135,25431,25968,24965,27598,23933,20280,16568,15051,12985,10510,9777,8385,7122,5807,4223,3042,2008,1146,409,137,29,108485,136889
20,Chiquimula,415063,199910,215153,50771,48755,46548,48477,40834,32719,26833,23613,19260,16030,13927,12703,10465,8383,6076,4554,2664,1699,543,183,26,155171,259892
21,Jalapa,342923,165871,177052,42275,41087,39412,41417,34780,27355,21722,19634,15665,13038,11348,9726,7682,6211,4631,3335,1875,1138,432,145,15,216075,126848
22,Jutiapa,488395,237263,251132,51090,52577,50500,55510,47832,39667,31992,29720,25219,21158,18753,16371,13870,11756,8544,6348,3921,2348,871,292,56,249754,238641
