departamento,anio,poblacion_total,tasa_vif_total,tasa_divorcios_10k,vif_alto,div_alto,pct_educacion_superior,pct_uniones_hecho,pct_casados,pct_decision_mujer,pct_decision_hombre,tasa_desempleo,tasa_quehaceres_hogar,regimen
Alta Verapaz,2013,1215038,27.398320052541568,0.979393237083943,True,False,2.070863560171225,18.382794624838862,34.81548474765405,12.244469152447406,32.76660567486408,2.142470175280189,36.34419139333063,Violencia_atrapada
Baja Verapaz,2013,299476,39.20180582083373,3.2723824279741947,True,True,2.932476408021828,17.504230676248874,35.28054328476297,18.716821316706618,23.28426687057924,1.9486604869104616,33.063007826387135,Conflicto_visible
Chimaltenango,2013,615776,27.834797069064077,1.0393389804084603,True,False,3.1773399014778327,9.358587598631967,39.7263094207709,14.75674865736615,20.614654227423642,1.4770505539521461,30.973856418257935,Violencia_atrapada
Chiquimula,2013,415063,10.576707632335332,2.0960673439935626,False,False,3.0157272659327985,20.84351438975461,27.39678706459148,22.093777841327807,28.37863105909786,2.3626738974620256,34.036707820765905,Baja_conflictividad
El Progreso,2013,176632,63.748358168395306,4.076271570270393,True,True,3.7996482035007437,20.29035110236445,30.243005048344312,20.840024427204668,23.44559292515776,3.426497159507105,30.695256024710073,Conflicto_visible
Escuintla,2013,733181,10.638573558234597,2.0867971210383245,False,False,3.3783330875551325,23.93258951819256,27.491172313329677,19.911110628737642,22.055200408087956,5.183616048920911,30.007759429890275,Baja_conflictividad
Guatemala,2013,3015081,21.156977208904173,5.979938847414049,False,True,12.215548422107702,15.032453685676117,33.034474029392534,21.314537028304706,21.00012884492517,3.3694119055547036,20.609889856091065,Resolucion_legal
Huehuetenango,2013,1170669,15.802929777759555,1.0677655255242942,False,False,2.3664469066767917,23.631981324773854,29.816399182958857,17.36016174915608,36.5771648770733,1.9342831472211524,38.4459069584633,Baja_conflictividad
Izabal,2013,408688,19.917394198019025,3.0096308186195824,False,True,2.6535696605755366,25.093448594539492,25.184912299645262,20.854345578460954,27.173844238600637,3.377008039453142,30.873849662024593,Resolucion_legal
Jalapa,2013,342923,24.37865060086375,2.857784400579722,False,True,2.984230595230401,18.866085428858728,29.344547139208128,20.255077040344098,27.102956389176242,1.6277946150129574,34.04875788670401,Resolucion_legal
Jutiapa,2013,488395,23.915068745585028,6.1016185669386465,False,True,3.2240785955640465,18.29292383190202,31.48198207564825,21.452122603132732,28.17319961975558,2.486654972678975,34.31759158418804,Resolucion_legal
Petén,2013,545600,19.886363636363633,2.346041055718475,False,False,2.6312740959631578,25.729307591245863,27.000864473086562,15.554753309265944,26.384275972723625,2.383808815413777,34.4206944988141,Baja_conflictividad
Quetzaltenango,2013,799101,25.491145674952225,3.166057857517385,True,True,11.881213795513238,14.36205967215194,35.293446209454956,19.169478922381742,23.14362523594349,2.004369156988077,30.54778198036686,Conflicto_visible
Quiché,2013,949261,7.81660681308934,1.25360675304263,False,False,1.5805467551475039,19.572474469846327,30.609735698753482,16.396780136351367,38.31978033583272,1.5600085043053045,36.256118930821835,Baja_conflictividad
Retalhuleu,2013,326828,50.69945047547946,4.253001578812096,True,True,3.408938036430167,17.025846723470913,33.059992563232306,20.926036466247016,21.92316040807467,4.218354988535481,32.1626210250998,Conflicto_visible
Sacatepéquez,2013,330469,53.378683023218514,2.60236209750385,True,True,7.167719815620097,11.934820959037456,38.361871230741116,15.224706692478595,23.038445047877662,2.2762432493249327,22.35029208709506,Conflicto_visible
San Marcos,2013,1032277,22.648959533148567,0.7362364946618011,False,False,2.9338896857478156,20.897340627985677,30.080213557592973,17.352008404764007,32.26850079040129,2.422489126531264,35.081320543934666,Baja_conflictividad
Santa Rosa,2013,396607,36.35841021464573,1.7145436162246253,True,False,3.3948018644170395,21.22431830864855,28.435076555975343,20.540837504578196,26.000081390143652,2.98811013767209,31.783792187025757,Violencia_atrapada
Sololá,2013,421583,25.380530049835976,0.9250847401342084,True,False,2.652163000644282,15.839384104460713,34.266737112234885,14.870279299589987,25.541135654794584,1.3471634567761472,31.370180813572528,Violencia_atrapada
Suchitepéquez,2013,554695,44.3126402797934,3.677696752269265,True,True,3.1429394068764207,16.613649949014874,33.41787878432705,19.762368586286286,24.281551366058636,3.2982298902083795,31.63304190963398,Conflicto_visible
Totonicapán,2013,418569,13.35502629196142,1.6006918811474333,False,False,2.2779306737322997,10.932695910108462,37.53603309316432,15.848058815942215,28.365793886237583,1.4891246146944328,31.69004583459436,Baja_conflictividad
Zacapa,2013,245374,30.40256913935462,6.43915003219575,True,True,3.8874886849718675,22.96687717489367,26.262147183915452,23.702719073899583,27.594561852200833,3.5436566985071765,28.753328205431632,Conflicto_visible
Alta Verapaz,2014,1215038,26.279013495874203,1.1275367519369766,True,False,2.070863560171225,18.382794624838862,34.81548474765405,12.244469152447406,32.76660567486408,2.142470175280189,36.34419139333063,Violencia_atrapada
Baja Verapaz,2014,299476,40.90478034967744,3.7398656319705084,True,True,2.932476408021828,17.504230676248874,35.28054328476297,18.716821316706618,23.28426687057924,1.9486604869104616,33.063007826387135,Conflicto_visible
Chimaltenango,2014,615776,30.85537598087616,1.8350828872836875,True,False,3.1773399014778327,9.358587598631967,39.7263094207709,14.75674865736615,20.614654227423642,1.4770505539521461,30.973856418257935,Violencia_atrapada
Chiquimula,2014,415063,10.889913097529773,3.565723757598244,False,True,3.0157272659327985,20.84351438975461,27.39678706459148,22.093777841327807,28.37863105909786,2.3626738974620256,34.036707820765905,Resolucion_legal
