Departamento;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Total país;3416;3668;4159;4332;5480;4584;1972;3480;4195;1141;1128
Guatemala;1506;1438;1810;1848;2654;1814;684;1374;1796;407;460
El Progreso;28;35;21;30;23;42;8;20;10;13;3
Sacatepéquez;7;39;24;155;133;83;69;105;98;0;0
Chimaltenango;110;104;43;50;57;138;19;63;104;44;23
Escuintla;118;123;128;87;66;92;39;69;95;52;15
Santa Rosa;51;98;85;55;49;67;60;53;83;34;12
Sololá;53;83;124;102;117;73;37;86;78;21;12
Totonicapán;47;29;29;60;53;35;10;38;5;0;35
Quetzaltenango;239;231;235;195;253;359;82;162;402;150;159
Suchitepéquez;32;57;67;73;138;149;77;85;97;13;17
Retalhuleu;81;47;88;75;55;139;21;34;41;22;12
San Marcos;49;68;76;63;80;45;29;54;65;25;1
Huehuetenango;266;182;177;196;224;175;75;149;170;49;19
Quiché;184;240;161;189;158;112;52;124;74;22;20
Baja Verapaz;0;14;107;178;360;260;118;164;161;26;15
Alta Verapaz;129;150;150;246;212;181;91;174;236;43;107
Petén;7;100;244;229;109;161;191;165;127;17;36
Izabal;121;206;249;238;427;239;126;232;216;55;51
Zacapa;42;42;42;45;79;85;38;56;79;37;22
Chiquimula;209;174;207;140;138;235;60;199;122;77;36
Jalapa;81;153;69;58;62;70;22;43;62;12;42
Jutiapa;56;55;23;20;33;30;64;31;74;22;31
