Departamento;Total Pais;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
 Todos los departamentos ; 117.241 ; 981 ; 904 ; 967 ; 1.888 ; 2.088 ; 1.917 ; 2.128 ; 2.834 ; 3.004 ; 3.645 ; 4.344 ; 5.157 ; 5.542 ; 5.575 ; 5.726 ; 5.665 ; 5.808 ; 6.255 ; 8.203 ; 4.074 ; 9.621 ; 9.950 ; 10.250 ; 10.715 
 Guatemala ; 45.116 ; 277 ; 195 ; 161 ; 900 ; 1.167 ; 904 ; 1.040 ; 1.052 ; 1.140 ; 1.561 ; 1.741 ; 2.044 ; 2.261 ; 2.180 ; 2.334 ; 2.280 ; 2.179 ; 2.221 ; 3.687 ; 1.412 ; 3.481 ; 3.494 ; 3.631 ; 3.774 
 El Progreso ; 2.005 ; 16 ; 24 ; 13 ; 19 ; 12 ; 14 ; 16 ; 45 ; 41 ; 63 ; 78 ; 82 ; 87 ; 109 ; 99 ; 94 ; 106 ; 130 ; 144 ; 67 ; 232 ; 183 ; 152 ; 179 
 Sacatepéquez ; 2.637 ; 25 ; 30 ; 31 ; 52 ; 49 ; 66 ; 61 ; 80 ; 77 ; 61 ; 81 ; 86 ; 113 ; 122 ; 106 ; 110 ; 135 ; 169 ; 185 ; 98 ; 209 ; 201 ; 226 ; 264 
 Chimaltenango ; 2.361 ; 6 ; 22 ; 10 ; 17 ; 18 ; 19 ; 10 ; 58 ; 59 ; 38 ; 65 ; 81 ; 92 ; 137 ; 124 ; 101 ; 130 ; 150 ; 171 ; 127 ; 270 ; 209 ; 209 ; 238 
 Escuintla ; 4.956 ; 2 ; 14 ; 5 ; 9 ; 25 ; 40 ; 41 ; 92 ; 124 ; 149 ; 232 ; 229 ; 220 ; 273 ; 283 ; 290 ; 332 ; 267 ; 335 ; 137 ; 407 ; 414 ; 411 ; 625 
 Santa Rosa ; 3.032 ; 46 ; 19 ; 13 ; 27 ; 13 ; 20 ; 11 ; 50 ; 92 ; 77 ; 119 ; 118 ; 119 ; 124 ; 176 ; 152 ; 150 ; 159 ; 189 ; 160 ; 323 ; 311 ; 276 ; 288 
 Sololá ; 1.283 ; 11 ; 11 ; 2 ; 2 ; 4 ; 6 ; 11 ; 16 ; 27 ; 41 ; 44 ; 44 ; 52 ; 61 ; 69 ; 61 ; 72 ; 72 ; 104 ; 42 ; 94 ; 125 ; 156 ; 156 
 Totonicapán ; 1.805 ; 14 ; 22 ; 24 ; 21 ; 29 ; 23 ; 29 ; 39 ; 38 ; 46 ; 69 ; 77 ; 80 ; 98 ; 83 ; 83 ; 102 ; 124 ; 128 ; 73 ; 143 ; 161 ; 135 ; 164 
 Quetzaltenango ; 9.555 ; 114 ; 114 ; 126 ; 126 ; 119 ; 127 ; 165 ; 161 ; 208 ; 233 ; 258 ; 281 ; 308 ; 350 ; 394 ; 386 ; 435 ; 582 ; 739 ; 442 ; 897 ; 957 ; 1.056 ; 977 
 Suchitepéquez ; 4.328 ; 59 ; 38 ; 59 ; 72 ; 34 ; 45 ; 67 ; 199 ; 125 ; 140 ; 162 ; 195 ; 229 ; 187 ; 151 ; 167 ; 139 ; 184 ; 195 ; 153 ; 345 ; 479 ; 467 ; 437 
 Retalhuleu ; 3.570 ; 56 ; 48 ; 47 ; 62 ; 50 ; 57 ; 57 ; 105 ; 108 ; 115 ; 110 ; 144 ; 174 ; 152 ; 167 ; 204 ; 166 ; 149 ; 189 ; 113 ; 307 ; 351 ; 344 ; 295 
 San Marcos ; 4.369 ; 20 ; 37 ; 46 ; 39 ; 43 ; 49 ; 22 ; 78 ; 89 ; 96 ; 148 ; 180 ; 144 ; 192 ; 209 ; 215 ; 270 ; 246 ; 267 ; 178 ; 381 ; 484 ; 485 ; 451 
 Huehuetenango ; 3.768 ; 27 ; 15 ; 27 ; 42 ; 45 ; 54 ; 49 ; 57 ; 79 ; 80 ; 127 ; 165 ; 182 ; 164 ; 173 ; 171 ; 195 ; 190 ; 229 ; 128 ; 370 ; 414 ; 411 ; 374 
 Quiché ; 3.024 ; 7 ; 8 ; 21 ; 11 ; 26 ; 23 ; 9 ; 63 ; 83 ; 84 ; 110 ; 115 ; 151 ; 158 ; 144 ; 159 ; 117 ; 190 ; 188 ; 139 ; 262 ; 295 ; 321 ; 340 
