Departamento;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Total país;2.444;3.634;3.430;4.494;8.076;8.787;6.339;13.397;15.281;40.381;45.202
Guatemala;833;2.682;2.428;2.442;5.499;6.464;5.109;9.803;11.717;32.653;33.186
El Progreso;41;31;66;100;74;119;44;154;166;117;100
Sacatepéquez;58;11;24;41;75;48;84;63;181;62;1
Chimaltenango;117;60;64;67;185;34;44;127;697;1.414;895
Escuintla;143;149;144;113;246;274;72;310;280;260;349
Santa Rosa;78;109;302;382;415;306;123;252;227;194;652
Sololá;87;-;47;46;12;27;20;18;51;82;277
Totonicapán;21;103;36;58;102;44;25;6;34;34;37
Quetzaltenango;758;58;82;42;650;415;267;654;647;2.588;5.119
Suchitepéquez;21;64;101;136;139;186;118;153;198;441;390
Retalhuleu;98;68;52;71;97;106;92;71;95;135;251
San Marcos;13;27;10;38;34;72;59;187;194;345;169
Huehuetenango;26;125;16;92;56;13;32;21;4;159;233
Quiché;20;14;35;63;42;70;34;83;91;117;234
Baja Verapaz;2;6;49;86;247;73;33;31;30;155;203
Alta Verapaz;12;1;70;940;241;184;96;573;143;346;698
Petén;10;42;83;47;70;56;6;52;48;146;185
Izabal;8;82;75;21;46;128;108;319;13;197;1.101
Zacapa;69;39;34;126;121;88;11;124;105;146;177
Chiquimula;24;72;102;155;65;10;9;64;36;202;157
Jalapa;57;81;55;86;169;155;50;89;140;174;275
Jutiapa;104;60;115;52;97;81;33;243;278;414;513
