Departamento;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Total país;;2.171;2.024;2.379;4.056;3.761;3.712;5.681;6.961;19.258;19.482
Guatemala;374;1.692;1.797;2.100;3.552;3.381;3.410;5.072;5.980;16.963;15.757
El Progreso;24; -; -;10; -;9; -;12; -;1;10
Sacatepéquez;21;1; -;33;24;3;2; -;13;5; -
Chimaltenango;78;3;2;4;1;5;6;13;529;1.064;544
Escuintla;47;7;22; -;12;3; -;13;6;1;43
Santa Rosa;22;12;44;93;27;9;13;28;17;8;36
Sololá;79;16;1; -;5; -; -; -;11;2;176
Totonicapán;21;33;4;2;18;2; -; -;3;9;3
Quetzaltenango;320;35;28;11;138;154;43;201;244;909;1.752
Suchitepéquez;19;14;1;1; -;16;7;2;1;54;60
Retalhuleu;62;34;19;19;3;89; -;2;2;2;8
San Marcos;29;44;5; -; -;7;2;2;4;10;10
Huehuetenango;77;116;1;1;28;1;3;19;2;3;38
Quiché;44;29;21;3;5; -;1;1; -;4;42
Baja Verapaz;1;10;7; -;9;1; -;23;9; -; -
Alta Verapaz;54;14;12;21;33;11;106;83;109;84;109
Petén;7;3;12;18;18;13;19;6; -; -;6
Izabal;33;13;28;44;174;32;70;150;1;29;842
Zacapa;34;1;3;4; -;13; -;2;1;18;7
Chiquimula;32; -;11;10;1;9; -;21;1;4;2
Jalapa;27;83;3;4;2;2;2;6;14; -; -
Jutiapa;32;11;3;1;6;1;28;25;14;88;37
