Departamento;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;;;;;;;;;;;;;;;;
Total pa�s;744;1.026;1.289;1.312;1.519;1.516;899;1.454;1.361;1.394;1.347;;;;;;;;;;;;;;;;;;
Guatemala;392;666;694;476;514;641;404;558;629;800;767;;;;;;;;;;;;;;;;;;
El Progreso;5;11;9;15;1;17;12;19;20;13;7;;;;;;;;;;;;;;;;;;
Sacatep�quez;5;2;11;29;21;14;44;33;31;3;-;;;;;;;;;;;;;;;;;;
Chimaltenango;3;31;18;19;84;14;4;14;19;13;18;;;;;;;;;;;;;;;;;;
Escuintla;40;21;46;47;94;84;25;63;35;51;20;;;;;;;;;;;;;;;;;;
Santa Rosa;15;44;118;139;126;123;62;142;77;43;45;;;;;;;;;;;;;;;;;;
Solol�;3;21;31;12;42;28;13;42;13;9;16;;;;;;;;;;;;;;;;;;
Totonicap�n;3;2;-;4;3;15;19;9;3;-;1;;;;;;;;;;;;;;;;;;
Quetzaltenango;125;45;56;62;93;91;63;130;111;67;82;;;;;;;;;;;;;;;;;;
Suchitep�quez;9;10;33;61;69;78;46;100;60;91;63;;;;;;;;;;;;;;;;;;
Retalhuleu;8;8;10;58;75;39;46;27;39;28;38;;;;;;;;;;;;;;;;;;
San Marcos;2;2;3;31;11;22;18;18;18;20;9;;;;;;;;;;;;;;;;;;
Huehuetenango;12;24;30;18;18;19;3;7;20;33;29;;;;;;;;;;;;;;;;;;
Quich�;15;9;40;22;21;38;18;22;28;16;9;;;;;;;;;;;;;;;;;;
Baja Verapaz;-;1;2;2;11;7;-;2;21;6;5;;;;;;;;;;;;;;;;;;
Alta Verapaz;8;17;47;95;70;60;16;51;23;31;29;;;;;;;;;;;;;;;;;;
Pet�n;5;13;35;29;30;53;39;83;66;39;58;;;;;;;;;;;;;;;;;;
Izabal;13;35;23;34;51;76;5;30;36;34;65;;;;;;;;;;;;;;;;;;
Zacapa;9;6;12;60;49;30;5;23;28;11;30;;;;;;;;;;;;;;;;;;
Chiquimula;12;7;22;56;23;14;9;15;12;13;12;;;;;;;;;;;;;;;;;;
Jalapa;22;17;15;20;59;19;13;12;21;16;8;;;;;;;;;;;;;;;;;;
Jutiapa;38;34;34;23;54;34;35;54;51;57;36;;;;;;;;;;;;;;;;;;
