Departamento;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Total país;3.679;4.105;4.276;5.135;7.981;8.094;3.700;9.742;11.154;20.870;25.501
Guatemala;1.573;1.762;1.747;1.714;4.087;4.256;1.979;5.547;6.904;15.297;17.122
El Progreso;40;55;78;105;96;135;40;143;156;116;86
Sacatepéquez;39;47;37;134;163;114;107;135;235;54;1
Chimaltenango;146;130;87;94;157;153;53;163;253;381;356
Escuintla;174;244;204;153;206;279;86;303;334;260;301
Santa Rosa;92;151;225;205;311;241;108;135;216;177;583
Sololá;58;46;45;44;82;72;44;62;105;92;97
Totonicapán;44;97;61;112;134;62;16;35;33;25;68
Quetzaltenango;552;209;233;164;672;529;243;485;694;1.762;3.444
Suchitepéquez;25;97;134;147;208;241;142;136;234;309;284
Retalhuleu;109;73;111;69;74;117;67;76;95;127;217
San Marcos;31;49;58;70;103;88;68;221;237;340;151
Huehuetenango;151;167;130;85;122;168;37;144;144;172;185
Quiché;105;216;135;101;174;144;67;184;137;119;203
Baja Verapaz;1;9;49;90;93;179;85;170;101;175;213
Alta Verapaz;79;118;161;1.070;350;294;65;613;247;274;667
Petén;5;42;114;135;131;151;139;128;109;124;157
Izabal;67;76;123;139;248;259;159;371;166;189;245
Zacapa;68;74;61;107;151;130;44;155;155;154;162
Chiquimula;141;239;276;229;179;202;60;227;145;262;179
Jalapa;89;134;106;120;170;204;57;114;167;170;309
Jutiapa;90;70;101;48;70;76;34;195;287;291;471
